rastr,ra,decstr,dec,glat,glon,elat,elon,ra_reflink,sy_dist,sy_disterr1,sy_disterr2
10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,32.77156,256.57364,-24.66343,161.74476,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,589.4230000,16.5990000,-15.7290000
00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,-77.87825,95.83026,-17.69021,359.89730,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,34.4603000,0.0929000,-0.0924000
02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,-70.45622,199.69949,-32.36798,22.68899,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23.7324000,0.0228000,-0.0227000
02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,-70.45622,199.69949,-32.36798,22.68899,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23.7324000,0.0228000,-0.0227000
17h57m47.67s,269.4486144,+04d44m16.73s,4.7379808,14.08585,31.04815,28.17607,269.37276,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1.8265500,0.0009750,-0.0009750
03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,-43.16780,175.42689,-12.69914,47.24706,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.6071500,0.0065800,-0.0065800
14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,55.65506,9.59427,25.96906,218.81934,<a refstr=DELORME_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...484..469D/abstract target=ref> Delorme et al. 2008 </a>,23.1000000,2.4000000,-2.4000000
16h27m44.23s,246.9342770,-23d58m52.14s,-23.9811500,16.96444,353.60499,-2.20713,249.00827,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,
11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,-15.92181,297.27760,-66.33310,238.71128,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,190.3740000,6.6470000,-6.2200000
04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192,-16.63607,175.46435,0.86834,70.22299,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,157.9980000,1.1980000,-1.1800000
07h49m12.22s,117.3009140,-76d42m09.71s,-76.7026960,-23.12313,288.91588,-76.95252,242.14150,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10.8864000,0.0041000,-0.0042000
11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,-14.90929,296.65359,-66.12679,235.83423,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,190.7200000,0.7780000,-0.7710000
06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,-2.10712,215.33882,-25.97950,103.43795,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,787.9090000,23.4910000,-23.4910000
19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,-6.95299,37.36069,22.52660,292.89599,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,338.3860000,3.9865000,-3.9865000
18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,4.63005,37.24009,28.92669,282.16226,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,655.0370000,24.9470000,-23.2090000
06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,-2.45441,213.13155,-24.29495,101.82309,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1126.3700000,55.7450000,-55.7450000
06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,-2.43966,217.39860,-27.89339,104.36935,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1148.9300000,62.1200000,-56.1500000
06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,-2.02059,218.11787,-28.26924,105.21063,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1744.6000000,173.0300000,-144.9000000
18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,1.10110,25.61433,17.17439,278.87636,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,732.4090000,35.3440000,-32.2820000
